#UID	CUI
1315	C0001306
1316	C0001309
1317	C0001327
1318	C0001338
1319	C0001342
1320	C0001364
1321	C0001367
1324	C0001403
1325	C0001422
1326	C0001448
1328	C0001455
1336	C0001520
1337	C0001521
1338	C0001546
1350	C0001618
1351	C0001623
1352	C0001624
1354	C0001641
1357	C0001644
1365	C0001707
1375	C0001807
1376	C0001811
1381	C0001860
1387	C0001883
1393	C0001906
1394	C0001925
1396	C0001947
1398	C0001957
1399	C0001969
1400	C0001975
1404	C0002006
1405	C0002007
1407	C0002044
1409	C0002046
1410	C0002063
1411	C0002064
1413	C0002066
1415	C0002083
1417	C0002103
1419	C0002173
1420	C0002185
1425	C0002239
1429	C0002260
1434	C0002312
1436	C0002333
1439	C0002348
1441	C0002368
1442	C0002370
1443	C0002371
1444	C0002372
1446	C0002390
1448	C0002404
1455	C0002445
1457	C0002448
1461	C0002467
1463	C0002503
1468	C0002546
1472	C0002563
1479	C0002586
1482	C0002589
1484	C0002591
1486	C0002600
1490	C0002631
1493	C0002667
1501	C0002693
1502	C0002696
1503	C0002707
1510	C0002772
1516	C0002796
1522	C0002831
1523	C0002845
1526	C0002871
1527	C0002888
1528	C0002889
1529	C0002890
1530	C0002891
1531	C0002892
1535	C0002932
1536	C0002933
1537	C0002934
1538	C0002937
1541	C0002982
1542	C0002985
1543	C0002994
1546	C0003001
1548	C0003018
1550	C0003028
1564	C0003138
1567	C0003150
1569	C0003152
1573	C0003195
1574	C0003209
1575	C0003216
1582	C0003255
1584	C0003257
1586	C0003264
1587	C0003276
1588	C0003289
1589	C0003290
1590	C0003292
1591	C0003297
1592	C0003306
1593	C0003307
1594	C0003308
1603	C0003377
1605	C0003381
1606	C0003382
1607	C0003383
1608	C0003402
1609	C0003410
1610	C0003429
1611	C0003431
1612	C0003447
1616	C0003490
1617	C0003492
1618	C0003493
1619	C0003505
1621	C0003507
1622	C0003550
1624	C0003572
1627	C0003596
1629	C0003614
1630	C0003615
1643	C0000190
1646	C0000266
1647	C0000268
1648	C0000275
1649	C0000289
1655	C0000378
1656	C0000379
1658	C0000424
1660	C0000477
1662	C0000523
1664	C0000545
1666	C0000589
1667	C0000608
1672	C0000661
1674	C0000727
1675	C0000734
1676	C0000735
1677	C0000778
1678	C0000790
1684	C0000833
1687	C0000887
1694	C0000946
1695	C0000964
1699	C0000979
1700	C0000981
1707	C0001040
1709	C0001056
1711	C0001066
1714	C0001075
1717	C0001125
1720	C0001145
1724	C0001163
1727	C0001210
1730	C0001249
1732	C0001255
1733	C0001261
1738	C0001314
1741	C0001396
1746	C0001431
1747	C0001432
1748	C0001433
1750	C0001465
1754	C0001486
1757	C0001529
1759	C0001551
1763	C0001576
1767	C0001617
1768	C0001636
1769	C0001637
1772	C0001693
1779	C0001752
1786	C0001800
1789	C0001819
1790	C0001825
1792	C0001828
1793	C0001857
1798	C0001911
1799	C0001940
1801	C0001973
1809	C0002018
1829	C0002164
1830	C0002165
1837	C0002245
1840	C0002268
1851	C0002382
1853	C0002395
1854	C0002412
1855	C0002413
1856	C0002421
1857	C0002438
1861	C0002496
1862	C0002497
1863	C0002499
1864	C0002509
1865	C0002512
1867	C0002514
1873	C0002530
1874	C0002536
1877	C0002607
1881	C0002622
1882	C0002625
1885	C0002641
1887	C0002644
1889	C0002671
1894	C0002699
1897	C0002757
1899	C0002768
1902	C0002792
1903	C0002793
1909	C0002836
1914	C0002860
1916	C0002878
1917	C0002879
1918	C0002880
1919	C0002881
1920	C0002886
1921	C0002899
1929	C0002962
1930	C0002991
1931	C0002992
1932	C0003009
1933	C0003015
1941	C0003076
1943	C0003078
1944	C0003079
1946	C0003099
1949	C0003114
1950	C0003126
1951	C0003128
1952	C0003129
1953	C0003130
1954	C0003158
1958	C0003164
1959	C0003177
1964	C0003207
1965	C0003214
1969	C0003277
1970	C0003280
1972	C0003286
1973	C0003299
1979	C0003367
1981	C0003371
1982	C0003372
1983	C0003374
1984	C0003392
1986	C0003394
1987	C0003405
1988	C0003416
1989	C0003419
1990	C0003420
1992	C0003422
1993	C0003438
1994	C0003442
1995	C0003445
1997	C0003466
1998	C0003476
1999	C0003477
2001	C0003499
2005	C0003534
2006	C0003564
2009	C0003578
2016	C0003620
2017	C0003621
2019	C0003639
2020	C0003641
2022	C0003653
2023	C0003654
2035	C0003791
2038	C0003810
2039	C0003811
2040	C0003814
2041	C0003855
2042	C0003857
2043	C0003864
2047	C0003706
2049	C0003719
2056	C0003756
2063	C0003779
2065	C0003803
2076	C0003850
2077	C0003872
2078	C0003873
2079	C0003875
2081	C0003910
2087	C0003950
2089	C0003952
2092	C0003968
2093	C0003969
2104	C0004057
2106	C0004090
2107	C0004093
2108	C0004095
2109	C0004096
2110	C0004107
2112	C0004147
2113	C0004148
2114	C0004149
2115	C0004158
2118	C0004234
2119	C0004235
2121	C0004249
2129	C0004310
2135	C0004364
2136	C0004368
2139	C0004414
2140	C0004426
2145	C0004477
2146	C0004480
2150	C0004509
2161	C0004615
2164	C0004669
2171	C0004773
2172	C0004775
2180	C0004842
2181	C0004855
2183	C0004886
2194	C0004963
2197	C0004998
2199	C0005011
2201	C0005041
2203	C0005072
2212	C0005129
2219	C0005201
2222	C0005214
2229	C0005309
2230	C0005310
2231	C0005311
2239	C0005382
2240	C0005395
2241	C0005398
2243	C0005403
